,year,gender,rank,country_code,name,time,notes
106,2016,men,54,MEX,daniel vargas,2:18:51.00,
107,2016,men,54,MEX,daniel vargas,2:18:51.00,
108,2016,men,55,GER,philipp pflieger,2:18:56.00,
109,2016,men,55,GER,philipp pflieger,2:18:56.00,
110,2016,men,56,BEL,willem van schuerbeeck,2:18:56.00,
111,2016,men,56,BEL,willem van schuerbeeck,2:18:56.00,
112,2016,men,57,ITA,stefano la rosa,2:18:57.00,
113,2016,men,57,ITA,stefano la rosa,2:18:57.00,
114,2016,men,58,ZIM,cuthbert nyasango,2:18:58.00,
115,2016,men,58,ZIM,cuthbert nyasango,2:18:58.00,
116,2016,men,59,BRA,marilson dos santos,2:19:09.00,
117,2016,men,59,BRA,marilson dos santos,2:19:09.00,
118,2016,men,60,ERI,tewelde estifanos,2:19:12.00,
119,2016,men,60,ERI,tewelde estifanos,2:19:12.00,
120,2016,men,61,EST,roman fosti,2:19:26.00,
121,2016,men,61,EST,roman fosti,2:19:26.00,
122,2016,men,62,TUN,atef saad,2:19:50.00,
123,2016,men,62,TUN,atef saad,2:19:50.00,
124,2016,men,63,EST,tiidrek nurme,2:20:01.00,
125,2016,men,63,EST,tiidrek nurme,2:20:01.00,
126,2016,men,64,IRL,kevin seaward,2:20:06.00,
127,2016,men,64,IRL,kevin seaward,2:20:06.00,
128,2016,men,65,ESP,jesus espana,2:20:08.00,
129,2016,men,65,ESP,jesus espana,2:20:08.00,
130,2016,men,66,PER,raul pacheco,2:20:13.00,
131,2016,men,66,PER,raul pacheco,2:20:13.00,
132,2016,men,67,GUA,juan carlos trujillo,2:20:24.00,
133,2016,men,67,GUA,juan carlos trujillo,2:20:24.00,
134,2016,men,68,BLR,stepan rogovtsov,2:20:34.00,
135,2016,men,68,BLR,stepan rogovtsov,2:20:34.00,
136,2016,men,69,NAM,mynhardt mbeumuna kawanivi,2:20:45.00,
137,2016,men,69,NAM,mynhardt mbeumuna kawanivi,2:20:45.00,
138,2016,men,70,GER,julian flugel,2:20:47.00,
139,2016,men,70,GER,julian flugel,2:20:47.00,
140,2016,men,71,GEO,daviti kharazishvili,2:20:47.00,
141,2016,men,71,GEO,daviti kharazishvili,2:20:47.00,
142,2016,men,72,MAR,rachid kisri,2:21:00.00,
